overall,reviewText,summary
1,zipper does not work.....need priers to move zipper.....tab pulls off .......return time expired so toss them in the trash or to needy.,zipper does not work..... need ...
1,The bottom part of this was too big but I couldn't even get the top part on because it was too small. Im not curvy by any means so it was out of the ordinary that it was so unproportional.,The bottom part of this was too big but I ...
1,I ordered Burberry glasses with the classis Burberry colors and didn't receive that. I got Burberry glasses BUT they were black and had blue in it... Not what I wanted... The pictures are the right glasses what I got was wrong!!,Not the right glasses
1,This bracelet is definitely not as shown.  One bracelet says Bit.  The other says ches r fe.  Now I can't find return instructions.  Don't waste your money on this item!,Waste of money!
1,They are very tight not true to size. Wouldn't recommend these shoes.,Do Not Buy
1,"Cracks easily...used very few times, looks terrible now",One Star
1,Necklace was only two layers not three and one of the layers was broke. I will be sending this back. Really dissapointed.,Necklace was only two layers not three and one of ...
1,"I got this backpack for my son going into kindergarten and before we even got to school on the first day the top strap broke off on one side, we sewed it back on. On the second day we were adjusting the back straps and one of the straps just broke off. We're going to have to go buy a new backpack today,hopefully better quality.",hopefully better quality.
1,"too small , look cheap",One Star
1,These are pretty but these left my ears green. So these aren't what it says it is. My ears do not turn green with sterling silver or GP but only fake earrings so I'm very disappointed.,These are pretty but these left my ears green
1,"Nothing really like the picture, I'm short so it's too long for me that it almost drags to the ground, it's loose at the bottom but bust is body fitting, meant for ladies with bigger curves if they want a bodycon dress and the colors more of a nude brown instead of a khaki grey",Nothing really like the picture
1,CHEAP!!,One Star
1,"The fit was wonderful, but the material pilled horribly after the first wear.  I hadn't even washed it yet:(",One Star
1,Not at all what I expected. The dye is terrible,Thumbs down
1,they are fake i wouldnt recomend buying. the left shoe is perfect its a good looking shoes but the right one has a lot of flaws. the leather is all bubbly the nike logo on the inside is all shriveled up. just a porely made shoes and im not happy with it!,the left shoe is perfect its a good looking shoes but the right one ...
1,Waste of money . And the time to order After a day gold. Started to peel,One Star
1,"Un fiasco! Mala calidad, psima imitacin de las verdaderas. Las recib el mal estado, con golpes y abolladuras.",Psima calidad no las compren
1,Just not the cutest in person. Sent it back.,One Star
1,Was too small for the books she needed to carry returned for bigger back pack,One Star
1,"I order a XXL, I received a shirt with an XXL tag, It is so small it would barley fit a 8 year old. Drives me crazy. refund please!","I order a XXL, I received a shirt with ..."
1,The most uncomfortable shoes I have ever had.  It is like walking with concrete insides on these shoes.  I would avoid them.,It is like walking with concrete insides on these shoes
1,"Make sure you check the boot sizes, I receive one boot in a size 1 and the other one a size 2. Very disappointed",Very disappointed
1,These are too tight around the widest part of my foot. I have tried them on several times in the house with different socks and they are just to narrow. I actually ordered up ( I typically wear a size 7 women's tennis shoe. A size 6 mens' should have been a bit large on me.)  the recommended size for a woman ordering a man's shoe after I went to a retail store that carries five ten and asked them. I was told 1 1/2 sizes smaller for a woman ordering a man's shoe. They did not have any men's five tens small enough for me to try on but assured me that would be right formula. I'm confused ! I thought these shoes ran wide based on the reviews.,Too narrow. Too small
1,"This is what you get when something on Amazon, is once again, too good to be true. I bought this because the pictures looked halfway decent. I have bought similar wigs for a little bit more $ so I thought hey, maybe this is a good deal.
The wig cap is really small, this wig is for kids. The hair is very thin, and you can see the wig cap. It is also cut completely different, and doesn't look as styled as the photo. Another cheap seller from China on Amazon. Yay~",Not worth the Money.
1,My daughter has had these on for 2 hours- first time wearing them and they just broke!,Broke in 1 hour
1,"Tried to put it on, lettering split right out of the bag. Returned it.",One Star
1,Was cheap. Not worth $14+,One Star
1,Very disappointed in this product way too big,One Star
1,The arm holes came to below the bottom of my bra and the tiny chest part isn't big enough for a child. If you are over an a cup or unwilling to be completely exposed forget about this shirt.,The arm holes came to below the bottom of my ...
1,The buckle broke after 1 month occasional use. It's now too late to return.,Broken after a month
1,completely see through you would have to have a really good slip to wear. Depressing.,... see through you would have to have a really good slip to wear
1,Really CHEAP material....don't buy it!,One Star
1,Horrendous fit.,One Star
1,These shirts are NOT good material. Find a local shirt maker and have them make you a shirt similar to.,These shirts are NOT good material. Find a local shirt maker and have ...
1,"Washed it cold, no bleach.  Red colors bled onto the white.  If you buy this, I advise to ""dry clean only"". I am very disappointed that the colors bled.  Also, runs one size too small.  If you want a medium, order the large.",Colors Bleed
1,"L was huge, not satisfied at all.",not satisfied at all
1,Bought two and they both look blurry,Disappointed
1,"too tight and not well made, scratchy rubber band peeps through on the inner lining and itches",One Star
1,This shawl is not made of pashmina. It is acrylic!,One Star
1,"Not the same shoes in the picture, don't waste your money!",Fraud!
1,One of the main stones has fallen out. Not very happy,Missing stone
1,"Nice backpack, but when it arrived it was  missing the tablet sleeve. I returned the first one ordered a replacement and that one was missing the sleeve as well...",Missing items
1,one of them broke within the first two minutes of my trying to open it. they are beautiful for sure but you can definitely find a better ring somewhere else.,they are beautiful for sure but you can definitely find a better ...
1,Loose and wanly to walk on,One Star
1,Very poorly made! The bow is stitched crooked and the lace on bottom is split on the side the slip under it is rough.,Don't buy very poor!
1,What I got looks NOTHING like the above photo. It took forever to get to me and then smelled awful.,What I got looks NOTHING like the above photo
1,Sizes don't match standard sizes and then they wanted to charge me to return them for not fitting.,One Star
1,"Dont waste your money on this ""made in china"" bag. I have one, it sucks",One Star
1,Fake,One Star
1,"Poor material, did not hold up in work environment for very long. Less than 60 days before the material separated from the uppers material.",Poor quality shoe.
1,"I have an older Levi's men's trucker jacket in large that fits me perfectly. I bought this jacket also in large, because my original jacket was starting to wear. It is the correct shoulder size and arm length, but is nowhere near as comfortable as my older Levi's trucker jacket. This new jacket really squeezes my chest and belly. It actually looks like a shirt and not a jacket when I put it on. Extra large would be too big for my shoulders and arms, so that would not work for me. I am so very not happy with my purchase.",Levi's Men's Trucker Jacket Put Me in a Tight Squeeze
1,Looks great yet i ordered the biggest size possible and it didn't even come close to fitting. Note im not even a big guy i wear a large t shirt.,Looks great yet i ordered the biggest size possible and it ...
1,"Dead on arrival.  Too bad, I really liked the other GV2 that I ordered about six months ago and was looking forward to wearing this.","Too bad, I really liked the other GV2 that I ..."
1,I had to send it back my granddaughter already had one,One Star
1,Soles are nice but the band's are too thick and rub badly. 5 minutes wearing these and I now have blisters on the tops of my feet,Waste of money
1,"Way to big for me,I'm about 5'10 and 167 pounds and this is way to big for me,I wish I could write a better review",Too big
1,Not anything like the picture it tiny as hell an not worth 13.99 thats fo sure,One Star
1,The shirt is fire engine red...not orange. Very disappointed. It ships from China as well so it takes forever and makes returning it a pain.,Do not buy
1,The product was quite smaller than expected.  However the reason for given it such a low grade was that the draw string does not hold.,Draw string does not hold
1,"Eh. As above, so below.",Eh.
1,"Looked like it shrunk. Also had the C logo on it 3 times, a little obsessive.",One Star
1,My order didn't  have these Calvin Klein jeans it had some crappy Aura jeans that I didn't order,... didn't have these Calvin Klein jeans it had some crappy Aura jeans that I didn't
1,not good,One Star
1,For people purchasing in europe it fit smaller than expected for at least two sizes,watch out for sizes!!
1,Not a good purchase or experience for the second time around. Returned on both times & will definitely not be ordering anything again.,Unsatisfactory.
1,"Is to hard to open, really bad product",really bad
1,"I bought a size 6 as it states this size fits 44-48"" my son is 46"" and this suit is way too small in both leg length and arm length.  Having to go out of my way to package and go to the post office to return is extremely frustrating when the suit should fit based on the sizing chart listed.",Sizing chart is not accurate
1,"These shoes aren't actually too small, or too large.  However, the fit is such that the foot is placed at an unusual angle. I didn't know that when I first put them on and thus was stuck wearing them all day. By the end of the day, I thought I was going to have to see a podiatrist.  Although darling in the appearance category, these shoes were such an uncomfortable fit that I knew I could never wear them again.  Alas, I had to give them away.  I wouldn't recommend buying these shoes unless you are able to wear them around a carpeted store for 15 minutes or so to give them a good trial period.",Darling but super uncomfortable
1,The quality was poor.  I could tell that it was a low quality picture that was printed and pressed. Even the quality of the T was sub par.  I could have purchased a white T from Walmart & ironed on a picture myself. It would have saved me some money.,Not worth the price
1,Item was missing. Only received an empty box.,Very disappointed.
1,We ordered a medium based on other reviews. It is way too big for my daughter. Also it is a cheap looking shirt.,Didn't love it
1,"My husband really liked the look and feel of this watch, but a number on the dial fell off, the clasp on the band stopped working and the battery stopped three days after we got it.","Neat design, poor quality"
1,Way to small. Never got to test the durability.,One Star
1,Cheaply made. My daughter crawled around on carpet 1 time and it scuffed the toes up... CARPET!,One Star
1,Had to return it,Too small
1,I sent them back. Not what I wanted.,One Star
1,what a horrible wig! The roots part was sooooo kinky. To the point where you can see the inside net and it looks like a Barbie dolls hair after the first year of use.,what was that
1,The navy description is clearly not navy in fact.  Very disappointed that I effectively bought three black socks that can't be worn with brown shoes.  Will be buying elsewhere.,Not as described
1,"Ran really small, had to return.",One Star
1,My daughter has only worn this hat a couple of times and one of the poms by the ear has fallen off and the Pom on the top of the hat is about to come off. I expected more from this brand. Very disappointing!,Poms fell off!
1,Very bad,One Star
1,"Low quality, but that was not surprising.",Low quality
1,Arrived broken.,Arrived broken.
1,"Ordered size 9 as I have another pair in another color.  Through them on and ran out the door to work......noticed they were loose.
I looked at size and it was a 10!!! box and paperwork all said 9. Now I wore them and don't want to go through the hassle of a return after worn.
Beware, look at size in boot!  Very poor quality control.",Very poor quality control
1,"The leg holes weren't even, and nearly cut off circulation to one of em. It's so cheap cause it's cheaply made.",You get what you pay for
1,"Update: I am not 100% sure but I think these might be fakes or the bags are made really poorly. I understand that the leather in this bag is not natural but it is coming off causing weird lines to show up in the bag. I have emailed the company to see if these are authentic but this bag is not a quality purchase. Stay away!  At first I though but it was dust on the bag so I wiped it down with a wet paper towel and noticed the blue on the tissue! Then I realized this is fading maybe from sunlight when I go out with the bag? I do not carry this bag in the rain so it can't be that but this should not be happening to a bag of this caliber. I have enclosed photos of the weird pattern that has appeared on the bag which isn't diet but fading of some sort.
Very disappointed and will be contacting Amazon.

So, I love this bag however the first one that arrived had A LOT of blemishes. None of these bags will be perfect as they are dyed leather but the second one was a lot better. Amazon was very quick with the replacement bag. The only thing that would make this better would be feet to the bottom.",Not good.
1,These shoelaces are not worth the price plus the shipping cost. You can't even tell what the design is supposed to be.,Can't tell they're Marvel shoelaces
1,"It looked like a childs size and I ordered a womens L.
Sent it back!!!!",What a Mistake!!!
1,Package arrived with an empty box.  I submitted for a refund.,The non-wallet.
1,Did not receive the back pack I ordered or that was pictured. Bag seems cheaply mad and more like a plastic type material. Currently attempting to return. My son is a huge UA fan and this is so disappointing.,awful
1,"This dress fit so weird. The top only fits if you have big boobs. Bad news for me. I donated it, what a waste of money...",Only buy if your body looks like the model in the picture
1,Very poor quality,Dont buy these cheap ass shoes
1,Did not receive a ring. Bracelet is nice.,Bracelet is nice.
1,"If I could rate zero, I would. Horrible fit. Bunt even bother.",A whole lot of nope.
1,Came un tied and all the beads fell off... :( :(,One Star
1,"Shirt looks great , exactly what i wanted , except ... 3 x must be a toddler 3x . Horrible sizing.","Shirt looks great, exactly what i wanted"
1,"NO POCKETS! These are terrible. The material is like underwear, so if you're at the gym, expect everyone to see the outline of your wiener. Also, c'mon, no pockets? Who does that? This order came with no receipt, so I guess I'm stuck with this giant pair of green underwear.",No pockets! Looks like underwear in public.
1,Color/Sizing Off,Color was off and sizing was way off  runs extremely oversized. Ordered the white and its tinged blue.
1,very bad quality,One Star
1,I sized down and the shirt still fit weird. I am thicker in the middle than anywhere so Ill blame it on that. I was firstly disappointed in the color. It looks like a nice kelly/bright clover/Irish green but its not its much closer to a teal and that was shocking.,Fits weird and the color doesnt match the picture
1,"I received these for Christmas from my wish list. I was super excited because they look very cute. However within two weeks of having them, the back walls completely tarnished. I'm not sure if you can see clearly in the photo, but they are a completely different color from the front now.",Disappointed by tarnish
1,"Do not buy this product. Very poor quality, made in China.","Very poor quality, made in China"
1,Worst purchase ever first it arrived late and then it's nothing like the picture or description the letters are half as big and they look ironed on very disappointed!! And it's too late to order something else because my wedding is coming up,Very disappointed!!
1,Too narrow and small-what steps should be taken to return?,One Star
1,Sucked,One Star
1,The material smells bad,One Star
1,Shapeless and not flattering,One Star
1,These shoes are drastically missized. These show 8M but I have been wearing Merrells or Keens in an 8D or 8M for many years.  These shoes are at the least a 9.5 and most likely a W width.,Missized Shoes
1,Way to large,One Star
